name,ring,quadrant,isNew,description
Doctrine,Adopt,Languages & Frameworks,FALSE,
Eslint,Adopt,Languages & Frameworks,,"A tool for static code analysis which replaced Jasmine some time ago. We often use it together with Prettier and the Airbnb style guide."
Gatsby.js,Adopt,Languages & Frameworks,,
gensim,Adopt,Languages & Frameworks,,
Huggingface Transformers,Adopt,Languages & Frameworks,,
Jest,Adopt,Languages & Frameworks,FALSE,
Pandas,Adopt,Languages & Frameworks,,"A program library for the Python programming language that provides tools for managing data and analyzing it."
React,Adopt,Languages & Frameworks,FALSE,
React Testing Library,Adopt,Languages & Frameworks,FALSE,
Sass,Adopt,Languages & Frameworks,,
Serverless Framework,Adopt,Languages & Frameworks,,"We use the serverless framework pretty much everywhere we deploy AWS Lambda, for example. We also try to stay as provider independent as possible in the code."
spacy,Adopt,Languages & Frameworks,,
Symfony,Adopt,Languages & Frameworks,FALSE,
Terraform,Adopt,Languages & Frameworks,,"Terraform is an Infrastructure as code (IaC) tool that lets you create, modify, and version infrastructures securely and efficiently. We use it extensively in all our cloud projects, and actually deploy any type of infrastructure in the cloud only using terraform."
Vue.js,Adopt,Languages & Frameworks,,
Apache Airflow,Adopt,Platforms,,"Open Source Workflow-Management-Platform, we use it heavily in most data projects."
Apache superset,Adopt,Tools,,"Apache Superset is an open-source software cloud-native application for data exploration and data visualization able to handle data at petabyte scale."
AWS Organizations,Adopt,Platforms,TRUE,"We use AWS Organizations to maintain and govern our AWS infrastructure and the one of our customers. It enables us to simplify plenty of everyday tasks and supports us in applying our security standards."
dbt,Adopt,Platforms,,"Command line tool that enables data analysts and engineers to transform data in their warehouse more effectively. We use it mostly in combination with Snowflake."
Detectify,Adopt,Platforms,FALSE,
Elasticsearch,Adopt,Platforms,,"Distributed Search Engine, mainly a RESTful wrapper around Apache Lucene. We rely on it in most of our Logging-Infrastructure."
Snowflake,Adopt,Platforms,,"Snowflake offers a cloud-based data storage and analytics service, commonly referred to as 'data warehouse-as-a-service'. We use Snowflake in many of our data projects, and often in combination with dbt"
Tideways,Adopt,Platforms,FALSE,
Clean Code,Adopt,Techniques,FALSE,
OpenAPI,Adopt,Techniques,FALSE,
Performance Testing Frontend,Adopt,Techniques,,
Pipelines as code,Adopt,Techniques,,"The Pipeline as code technique advocates that the deployment pipeline configuration for building, testing, and deploying our applications or infrastructure should be treated as code.They should be placed under source control and best modularized into reusable components."
Gitlab,Adopt,Tools,FALSE,"Gitlab is one of our bread and butter tools. For years we have been using the Community Edition for source code management, CI/CD and package management, and continue to be convinced by the growing feature set."
Grafana,Adopt,Tools,,"Composable Platform for monitoring and observability which we use in a lot of our projects to monitor our infrastructure"
Harbor,Adopt,Tools,FALSE,"A cloud native registry project that stores, signs, and scans content. Harbor extends the open source Docker Distribution by adding the functionalities usually required by users such as security, identity and management. We use it in projects which are not running in the cloud."
Helm,Adopt,Tools,FALSE,"Helm is a package manager for Kubernetes and helps us manage our applications running in a Kubernetes cluster. Using Helm charts helps us to standardize workflows and reduces complexity."
Kubernetes,Adopt,Tools,FALSE,
prodigy,Adopt,Tools,,
Prometheus,Adopt,Tools,,"Prometheus is a software application used for event monitoring and alerting. It records real-time metrics in a time series database (allowing for high dimensionality) built using a HTTP pull model, with flexible queries and real-time alerting."
RabbitMQ,Adopt,Tools,FALSE,
Redis,Adopt,Tools,FALSE,
Solr,Adopt,Tools,FALSE,
Sonarqube,Adopt,Tools,FALSE,
